match_id,times,rad_gold_adv,rad_xp_adv
40756,300,207,228
40756,720,734,-1617
40756,1500,3903,11260
40757,300,-2050,-1915
40757,720,-1843,-3331
40757,1500,11787,3883
40758,300,1445,278
40758,720,4430,2850
40758,1500,19777,19712
40759,300,-32,1160
40759,720,906,2626
40759,1500,507,662
40760,300,-131,17
40760,720,552,2919
40760,1500,8993,12261
40761,300,357,573
40761,720,2722,4406
40761,1500,14407,16537
40762,300,-526,-477
40762,720,1919,1218
40762,1500,8342,9292
40763,300,959,-321
40763,720,1630,-169
40763,1500,5686,7045
40764,300,-68,246
40764,720,1547,287
40764,1500,5006,1529
40765,300,1830,2359
40765,720,6150,6919
40765,1500,18051,20756
40766,300,45,-741
40766,720,-1211,-2061
40766,1500,-4320,-3279
40767,300,1256,203
40767,720,7453,6297
40767,1500,9654,7827
40768,300,-1458,-831
40768,720,-1709,-1311
40768,1500,-2167,-4801
40769,300,-1709,-722
40769,720,1339,3392
40769,1500,-4607,-6705
40770,300,-2086,-903
40770,720,-3463,-891
40770,1500,-5644,-5632
40771,300,-782,836
40771,720,-3288,-50
40771,1500,-11973,-7217
40772,300,26,15
40772,720,-667,-1198
40772,1500,6301,5257
40773,300,-341,-25
40773,720,-2896,-2380
40773,1500,-6120,-5445
40774,300,-38,1238
40774,720,-843,1548
40774,1500,5576,8657
40775,300,384,1168
40775,720,732,2803
40775,1500,19238,25586
40776,300,1893,1307
40776,720,4427,4277
40776,1500,10801,10006
40777,300,594,774
40777,720,327,745
40777,1500,-3901,-7784
40778,300,79,-1539
40778,720,-1259,-4139
40778,1500,-8240,-12908
40779,300,-705,-1097
40779,720,-2954,-3830
40779,1500,-8180,-9599
40780,300,360,693
40780,720,4357,5483
40780,1500,7431,7342
40781,300,226,605
40781,720,491,1080
40781,1500,6494,11007
40782,300,-1030,-274
40782,720,18,210
40782,1500,-6131,-9221
40783,300,560,363
40783,720,1722,927
40783,1500,9775,13227
40784,300,885,1211
40784,720,3077,4114
40784,1500,3507,3999
40785,300,-348,-195
40785,720,-974,-623
40785,1500,-7151,-6409
40786,300,-699,225
40786,720,-2889,973
40786,1500,870,9789
40787,300,1401,1317
40787,720,-1120,-180
40787,1500,-2263,-2397
40788,300,-183,-831
40788,720,-2155,-3767
40788,1500,808,-29
40789,300,-575,-1522
40789,720,-525,-1266
40789,1500,-310,-551
40790,300,-255,-1115
40790,720,-1998,-3270
40790,1500,-4732,-10392
40791,300,-2117,-2673
40791,720,-2486,-3740
40791,1500,-7990,-14141
40792,300,-7,-801
40792,720,2514,3528
40792,1500,602,-1684
40793,300,835,524
40793,720,-2857,-4937
40793,1500,-18746,-18731
40794,300,590,428
40794,720,1466,887
40794,1500,5339,8640
40795,300,804,588
40795,720,-178,-194
40795,1500,-13192,-7565
40796,300,2370,1542
40796,720,2083,9
40796,1500,15835,14135
40797,300,-7,66
40797,720,-384,516
40797,1500,-9382,-12111
40798,300,-768,-1726
40798,720,-1,-812
40798,1500,23498,11721
40799,300,-345,-330
40799,720,-209,-487
40799,1500,-345,-2816
40800,300,-1170,-1101
40800,720,-3236,-2595
40800,1500,-4761,-7129
40801,300,178,831
40801,720,-841,-336
40801,1500,-7418,-13451
40802,300,643,225
40802,720,3187,3609
40802,1500,-5927,-9692
40803,300,-90,-930
40803,720,-582,99
40803,1500,-2801,-4405
40804,300,-416,-1340
40804,720,-3097,-2360
40804,1500,-14310,-15837
40805,300,-588,-314
40805,720,-1979,-1285
40805,1500,2662,4400
40806,300,3122,1702
40806,720,3341,644
40806,1500,17220,12752
40807,300,-1049,-1106
40807,720,-1273,-670
40807,1500,-10194,-12410
40808,300,-459,115
40808,720,-409,848
40808,1500,-514,1514
40809,300,1145,1367
40809,720,-675,170
40809,1500,-8855,-10380
40810,300,-10,-680
40810,720,956,-2155
40810,1500,2518,761
40811,300,10,-384
40811,720,-3828,-4033
40811,1500,-7986,-10662
40812,300,-137,656
40812,720,1379,1846
40812,1500,-5925,-5678
40813,300,246,1583
40813,720,-2213,480
40813,1500,-1366,370
40814,300,-133,-1179
40814,720,-368,-769
40814,1500,-3985,-4419
40815,300,-1593,-816
40815,720,-253,455
40815,1500,7432,15818
40816,300,484,848
40816,720,817,-522
40816,1500,-3704,-5909
40817,300,-1611,-526
40817,720,-725,1623
40817,1500,-6207,-6998
40818,300,20,11
40818,720,2334,2921
40818,1500,3715,2530
40819,300,-708,-1314
40819,720,1107,431
40819,1500,-418,-1432
40820,300,594,270
40820,720,4606,3921
40820,1500,29480,27130
40821,300,39,-229
40821,720,2472,1412
40821,1500,-3548,-8146
40822,300,-659,127
40822,720,-3823,-3905
40822,1500,-8484,-11352
40823,300,-2450,-926
40823,720,-6339,-2341
40823,1500,-15393,-6140
40824,300,-91,46
40824,720,2729,2569
40824,1500,-696,-3495
40825,300,-104,-559
40825,720,560,-369
40825,1500,-10536,-16085
40826,300,1040,1718
40826,720,-121,2739
40826,1500,-12801,-7955
40827,300,-1097,-1032
40827,720,-442,613
40827,1500,7903,8182
40828,300,1132,349
40828,720,5097,4201
40829,300,-25,-130
40829,720,1009,-2115
40829,1500,3594,1768
40830,300,940,719
40830,720,1736,1962
40830,1500,-1755,-4622
40831,300,1220,601
40831,720,1487,243
40831,1500,10804,5343
40832,300,106,54
40832,720,3328,1810
40832,1500,4543,7505
40833,300,-17,-519
40833,720,-704,-1974
40833,1500,-8145,-15417
40834,300,69,-619
40834,720,4248,3632
40834,1500,30418,21984
40835,300,-1499,-1511
40835,720,-2366,-3068
40835,1500,-11178,-15090
40836,300,2381,1617
40836,720,3655,3277
40836,1500,8939,11333
40837,300,-1139,-268
40837,720,-2189,-577
40837,1500,-11182,-10903
40838,300,991,781
40838,720,3219,524
40838,1500,2380,-557
40839,300,1862,399
40839,720,-487,-1454
40839,1500,-8634,-14784
40840,300,1120,796
40840,720,4586,4518
40840,1500,6909,3897
40841,300,-511,-569
40841,720,1369,2465
40841,1500,1267,787
40842,300,108,-477
40842,720,2702,1908
40842,1500,1271,-4966
40843,300,1444,1249
40843,720,4271,4399
40843,1500,5485,2220
40844,300,2283,2156
40844,720,2733,2493
40844,1500,12178,18551
40845,300,-397,339
40845,720,1656,882
40845,1500,4132,10469
40846,300,3030,611
40846,720,11077,6547
40846,1500,26284,14743
40847,300,408,170
