match_id,times,tot_gold_rad,tot_gold_dire,tot_xp_rad,tot_xp_dire
40756,300,5649,5442,6605,6377
40756,720,16778,16044,16882,18499
40756,1500,45582,41679,50211,38951
40757,300,4898,6948,5389,7304
40757,720,15845,17688,16890,20221
40757,1500,51502,39715,52528,48645
40758,300,7280,5835,6104,5826
40758,720,17677,13247,17232,14382
40758,1500,52256,32479,50876,31164
40759,300,5232,5264,6819,5659
40759,720,13973,13067,17663,15037
40759,1500,38593,38086,49536,48874
40760,300,5162,5293,5766,5749
40760,720,14997,14445,17502,14583
40760,1500,44499,35506,49421,37160
40761,300,6225,5868,6947,6374
40761,720,18521,15799,20225,15819
40761,1500,50325,35918,51706,35169
40762,300,5097,5623,6855,7332
40762,720,16275,14356,19117,17899
40762,1500,43624,35282,48993,39701
40763,300,5618,4659,5665,5986
40763,720,14822,13192,15571,15740
40763,1500,39047,33361,44210,37165
40764,300,5338,5406,6025,5779
40764,720,15818,14271,16472,16185
40764,1500,44023,39017,45974,44445
40765,300,6997,5167,7457,5098
40765,720,20776,14626,20435,13516
40765,1500,51522,33471,53497,32741
40766,300,5060,5015,5219,5960
40766,720,13357,14568,14629,16690
40766,1500,35135,39455,40092,43371
40767,300,6152,4896,6557,6354
40767,720,19849,12396,20180,13883
40767,1500,48957,39303,52078,44251
40768,300,3784,5242,5332,6163
40768,720,12480,14189,14989,16300
40768,1500,37320,39487,43289,48090
40769,300,4351,6060,5463,6185
40769,720,15103,13764,18439,15047
40769,1500,33732,38339,39741,46446
40770,300,4597,6683,5703,6606
40770,720,15470,18933,16811,17702
40770,1500,38551,44195,40990,46622
40771,300,5719,6501,6888,6052
40771,720,14583,17871,16379,16429
40771,1500,39501,51474,44435,51652
40772,300,5328,5302,6093,6078
40772,720,14565,15232,16007,17205
40772,1500,44509,38208,49586,44329
40773,300,5554,5895,6622,6647
40773,720,15282,18178,17729,20109
40773,1500,37488,43608,45332,50777
40774,300,4848,4886,6050,4812
40774,720,15628,16471,18004,16456
40774,1500,43904,38328,49023,40366
40775,300,5521,5137,6284,5116
40775,720,15473,14741,18912,16109
40775,1500,48992,29754,56172,30586
40776,300,5780,3887,6468,5161
40776,720,15563,11136,17653,13376
40776,1500,42609,31808,45798,35792
40777,300,5362,4768,6133,5359
40777,720,14291,13964,15875,15130
40777,1500,34486,38387,33542,41326
40778,300,5983,5904,6027,7566
40778,720,15570,16829,16431,20570
40778,1500,35360,43600,36385,49293
40779,300,5013,5718,5812,6909
40779,720,13586,16540,15733,19563
40779,1500,38369,46549,43422,53021
40780,300,5671,5311,6073,5380
40780,720,17613,13256,19442,13959
40780,1500,46193,38762,49546,42204
40781,300,6314,6088,7039,6434
40781,720,15612,15121,17659,16579
40781,1500,44516,38022,47970,36963
40782,300,4984,6014,6108,6382
