match_id,times,rad_gold_adv,rad_xp_adv
30995,300,-971,-838
30995,720,-5101,-5667
30995,1500,-163,4730
30996,300,-844,-878
30996,720,993,-517
30996,1500,-546,-6997
30997,300,1326,439
30997,720,3834,2480
30997,1500,10545,10276
30998,300,-1285,-2383
30998,720,-1810,-3826
30998,1500,-10081,-11075
30999,300,438,-639
30999,720,-103,-1283
30999,1500,6865,8878
31000,300,-405,-1082
31000,720,-875,-2262
31000,1500,-7616,-13359
31001,300,876,363
31001,720,1179,149
31001,1500,8494,13319
31002,300,-1583,-973
31002,720,-790,-324
31002,1500,-3755,-3046
31003,300,1767,2097
31003,720,167,845
31003,1500,17178,18159
31004,300,529,441
31004,720,-1735,-462
31004,1500,672,-197
31005,300,-82,400
31005,720,182,1236
31005,1500,4263,3806
31006,300,-1118,-564
31006,720,-7108,-4897
31006,1500,-40985,-25586
31007,300,-1268,-250
31007,720,-281,1622
31007,1500,15897,19999
31008,300,-150,-392
31008,720,-1333,-3654
31008,1500,-2726,-9686
31009,300,280,332
31009,720,1432,2558
31009,1500,-12,1206
31010,300,643,-724
31010,720,17,-3148
31010,1500,138,-395
31011,300,685,1041
31011,720,2028,3805
31011,1500,10506,17082
31012,300,251,116
31012,720,682,-419
31012,1500,10340,13434
31013,300,2293,1302
31013,720,5831,4651
31013,1500,-1965,-800
31014,300,-301,-234
31014,720,3794,4782
31014,1500,15030,16222
31015,300,1626,1621
31015,720,6635,5034
31016,300,-852,-1478
31016,720,-1089,-1823
31016,1500,2437,4066
31017,300,274,617
31017,720,3003,2990
31017,1500,20860,21623
31018,300,-43,310
31018,720,547,734
31018,1500,2929,4064
31019,300,844,597
31019,720,5097,6080
31019,1500,14564,18112
31020,300,-1114,-136
31020,720,-5364,-4152
31020,1500,-2681,5167
31021,300,260,499
31021,720,5362,4151
31021,1500,23437,10844
31022,300,264,-74
31022,720,434,966
31022,1500,2768,702
31023,300,-820,-1541
31023,720,-718,-235
31023,1500,-4764,-6990
31024,300,-691,159
31024,720,-805,-566
31024,1500,-2908,-2704
31025,300,262,1181
31025,720,-926,1199
31025,1500,-1431,3606
31026,300,530,-1413
31026,720,246,-1294
31026,1500,-10573,-19763
31027,300,1515,341
31027,720,4703,5173
31027,1500,11242,16875
31028,300,525,-919
31028,720,1404,-685
31028,1500,-6516,-14592
31029,300,1273,1005
31029,720,85,878
31029,1500,-4708,-3793
31030,300,346,944
31030,720,408,1328
31030,1500,1672,2176
31031,300,-1654,-1360
31031,720,-6286,-6506
31031,1500,-17851,-22221
31032,300,-3680,-1921
31032,720,-8269,-4985
31032,1500,-6626,3284
31033,300,-637,-465
31033,720,-2478,-2860
31033,1500,-16372,-24881
31034,300,1765,1328
31034,720,4918,3348
31034,1500,13105,9328
31035,300,-324,-921
31035,720,-1467,-3429
31035,1500,-1294,-1002
31036,300,866,-89
31036,720,-385,-1984
31036,1500,-1216,667
31037,300,1272,569
31037,720,5110,4526
31037,1500,11660,12699
31038,300,-634,-369
31038,720,-1085,-2101
31038,1500,12287,16013
31039,300,-934,-1057
31039,720,2587,2202
31039,1500,8890,9714
31040,300,446,-156
31040,720,56,-763
31040,1500,-2298,-1101
31041,300,983,248
31041,720,4454,4668
31041,1500,13372,13470
31042,300,-726,-1131
31042,720,-2634,-3423
31042,1500,-14565,-19017
31043,300,219,-635
31043,720,1399,1324
31043,1500,-386,-678
31044,300,-1192,-1060
31044,720,-1951,-1070
31044,1500,-9117,-8278
31045,300,-505,95
31045,720,-4102,-2623
31045,1500,6017,8143
31046,300,-1276,999
31046,720,-4594,-2873
31046,1500,-18172,-16447
31047,300,-1084,-376
31047,720,596,188
31047,1500,876,-825
31048,300,-912,-431
31048,720,-261,-247
31048,1500,-6212,-10887
31049,300,-1473,-223
31049,720,-3989,-134
31049,1500,-13184,-7979
31050,300,-100,1424
31050,720,-227,1210
31050,1500,-8079,-4245
31051,300,-382,-446
31051,720,782,1612
31051,1500,6063,10378
31052,300,1237,967
31052,720,604,660
31052,1500,1258,1809
31053,300,-352,383
31053,720,-2516,-1384
31053,1500,-5906,-7146
31054,300,1922,1501
31054,720,3077,1543
31054,1500,4833,3501
31055,300,254,-1595
31055,720,-2030,-4180
31055,1500,-17272,-18569
31056,300,938,1295
31056,720,556,465
31056,1500,7960,9019
31057,300,-252,-544
31057,720,1621,707
31057,1500,1937,734
31058,300,515,792
31058,720,1009,388
31058,1500,-4926,-9330
31059,300,470,-292
31059,720,-114,-260
31059,1500,-5979,-285
31060,300,-157,-55
31060,720,-235,495
31060,1500,-3383,-5977
31061,300,1396,883
31061,720,2953,1297
31061,1500,7176,4933
31062,300,2127,973
31062,720,75,-793
31062,1500,-9740,-15732
31063,300,570,-25
31063,720,-1284,-1545
31063,1500,-471,-2868
31064,300,-2535,-1819
31064,720,-4783,-4045
31064,1500,-4806,-6618
31065,300,-1072,-1200
31065,720,-1732,-2311
31065,1500,1660,3693
31066,300,895,1480
31066,720,1143,-403
31066,1500,13392,10359
31067,300,-2528,-3208
31067,720,-5698,-4131
31067,1500,-1799,-1732
31068,300,449,-855
31068,720,1021,-2080
31068,1500,11119,8094
31069,300,49,-1210
31069,720,764,-3304
31069,1500,1262,-2951
31070,300,-816,-754
31070,720,579,-1667
31070,1500,8726,5782
31071,300,-216,74
31071,720,3657,4472
31071,1500,3114,1854
31072,300,-977,456
31072,720,-3958,-1377
31072,1500,-32585,-26189
31073,300,1198,1487
31073,720,3142,3818
31073,1500,12147,11570
31074,300,-1038,-5
31074,720,-2463,-351
31074,1500,-7786,-11734
31075,300,1523,958
31075,720,3468,-925
31075,1500,2637,-2629
31076,300,1061,-501
31076,720,571,-998
31076,1500,1928,1010
31077,300,920,1466
31077,720,1988,2027
31077,1500,3031,3657
31078,300,2410,1115
31078,720,7219,3764
31078,1500,17242,18942
31079,300,512,1217
31079,720,1590,2681
31079,1500,-1044,-658
31080,300,-760,-202
31080,720,-1203,-395
31080,1500,-12036,-5416
31081,300,-1179,-1039
31081,720,-4529,-5565
31081,1500,-26584,-32183
31082,300,-20,274
31082,720,1532,998
31082,1500,3698,-1896
31083,300,-1161,-638
31083,720,1590,402
31083,1500,-1937,-1311
31084,300,-301,-446
31084,720,-1015,-1218
31084,1500,-150,-730
31085,300,889,623
31085,720,49,-1584
31085,1500,-1383,-2265
31086,300,-111,156
31086,720,18,1596
31086,1500,4169,11022
31087,300,546,71
31087,720,1750,-2006
31087,1500,-2329,-11063
31088,300,-321,-403
31088,720,1079,-621
31088,1500,23615,24685
31089,300,1812,712
31089,720,9607,7769
31089,1500,33074,22005
31090,300,-533,389
31090,720,2275,4088
31090,1500,16651,20404
31091,300,-318,369
31091,720,3791,4523
31091,1500,11458,14807
31092,300,-446,-748
31092,720,-3637,-3854
31092,1500,-8275,-9916
