match_id,times,tot_gold_rad,tot_gold_dire,tot_xp_rad,tot_xp_dire
30995,300,4889,5860,5589,6427
30995,720,13278,18379,12661,18328
30995,1500,44144,44307,50919,46189
30996,300,6215,7059,6183,7061
30996,720,18343,17350,18277,18794
30996,1500,41869,42415,43706,50703
30997,300,6401,5075,6123,5684
30997,720,17697,13863,16301,13821
30997,1500,44007,33462,41265,30989
30998,300,4890,6175,6119,8502
30998,720,15229,17039,18001,21827
30998,1500,37340,47421,45188,56263
30999,300,6692,6254,6277,6916
30999,720,17211,17314,17025,18308
30999,1500,45469,38604,50701,41823
31000,300,5027,5432,6028,7110
31000,720,14331,15206,16137,18399
31000,1500,36428,44044,39100,52459
31001,300,6788,5912,6874,6511
31001,720,18469,17290,20176,20027
31001,1500,51590,43096,65698,52379
31002,300,4335,5918,5616,6589
31002,720,13924,14714,16414,16738
31002,1500,36456,40211,43584,46630
31003,300,6810,5043,7006,4909
31003,720,16423,16256,17683,16838
31003,1500,54155,36977,56040,37881
31004,300,5254,4725,6226,5785
31004,720,15265,17000,16877,17339
31004,1500,41039,40367,43820,44017
31005,300,5626,5708,6253,5853
31005,720,16476,16294,18120,16884
31005,1500,43243,38980,45031,41225
31006,300,5308,6426,6275,6839
31006,720,12761,19869,14550,19447
31006,1500,28430,69415,29395,54981
31007,300,5488,6756,5910,6160
31007,720,15790,16071,18027,16405
31007,1500,54618,38721,62877,42878
31008,300,5312,5462,5968,6360
31008,720,14748,16081,14338,17992
31008,1500,36581,39307,39875,49561
31009,300,5505,5225,6123,5791
31009,720,15585,14153,17920,15362
31009,1500,40555,40567,47989,46783
31010,300,5630,4987,6454,7178
31010,720,15288,15271,16481,19629
31010,1500,39565,39427,46007,46402
31011,300,5887,5202,6292,5251
31011,720,16483,14455,16837,13032
31011,1500,44109,33603,46327,29245
31012,300,5064,4813,6390,6274
31012,720,15457,14775,17332,17751
31012,1500,44992,34652,51110,37676
31013,300,9074,6781,7820,6518
31013,720,22897,17066,20723,16072
31013,1500,48093,50058,49520,50320
31014,300,5427,5728,5914,6148
31014,720,15996,12202,16461,11679
31014,1500,45538,30508,45198,28976
31015,300,7132,5506,7791,6170
31015,720,21852,15217,20972,15938
31016,300,6552,7404,5765,7243
31016,720,16867,17956,16967,18790
31016,1500,47447,45010,54470,50404
31017,300,6087,5813,6668,6051
31017,720,17347,14344,18007,15017
