match_id,times,rad_gold_adv,rad_xp_adv
0,300,-1037,-90
0,720,-1124,176
0,1500,6316,10032
1,300,-821,-1025
1,720,-2181,-3201
1,1500,-2366,-3309
2,300,522,229
2,720,-1085,-1238
2,1500,60,940
3,300,-255,-85
3,720,885,2602
3,1500,333,-421
4,300,1755,1312
4,720,6244,5715
4,1500,18902,15139
5,300,794,-153
5,720,3795,3008
5,1500,20119,20936
6,300,-1709,-1270
6,720,145,2429
6,1500,6360,9835
7,300,1102,517
7,720,2971,3446
7,1500,14706,14409
8,300,1446,764
8,720,34,-2872
8,1500,-14281,-23308
9,300,144,-785
9,720,1553,588
9,1500,1247,1369
10,300,1466,2206
10,720,4878,4964
10,1500,27123,26483
11,300,-1284,-1266
11,720,-5646,-6720
11,1500,-11133,-13641
12,300,2097,972
12,720,4692,3834
12,1500,6991,1816
13,300,-53,-130
13,720,-1432,-1489
13,1500,-913,4801
14,300,1700,1547
14,720,7855,6173
14,1500,25574,19532
15,300,2512,1914
15,720,1349,1467
15,1500,10255,10276
16,300,-1348,-84
16,720,-976,2098
16,1500,3409,9584
17,300,-224,-625
17,720,1610,955
17,1500,13425,11530
18,300,-972,-349
18,720,-1703,1516
18,1500,5678,13744
19,300,-1578,-1046
19,720,2132,3844
19,1500,4099,-4660
20,300,-672,-316
20,720,-1845,-819
20,1500,3897,7174
21,300,-372,-549
21,720,-1229,-2440
21,1500,4815,2278
22,300,1060,363
22,720,1503,715
22,1500,-722,625
23,300,-1737,-1121
23,720,-3504,-2739
23,1500,-657,-4601
24,300,255,-138
24,720,-401,-1239
24,1500,-320,-1874
25,300,442,1039
25,720,969,1132
25,1500,-990,-4844
26,300,1341,1039
26,720,5146,4177
26,1500,34099,21592
27,300,-1620,-1028
27,720,-4739,-4066
27,1500,-10447,-14291
28,300,-179,172
28,720,2421,2269
28,1500,14979,17801
29,300,1069,145
29,720,2866,2290
29,1500,14185,12287
30,300,-605,-649
30,720,-1141,-2852
30,1500,4160,1667
31,300,-272,145
31,720,-4450,-5049
31,1500,-10579,-15839
32,300,-298,1006
32,720,130,2642
32,1500,13249,24343
33,300,431,-294
33,720,4526,1428
33,1500,5521,2001
34,300,631,94
34,720,-894,-213
34,1500,4785,8772
35,300,-726,-121
35,720,-4865,-3298
35,1500,-19061,-22781
36,300,1968,104
36,720,2114,-1416
36,1500,14409,11008
37,300,-895,-199
37,720,33,1586
37,1500,7428,14352
38,300,986,344
38,720,3392,2821
38,1500,4917,6580
39,300,-336,689
39,720,1811,2570
39,1500,3802,8297
40,300,200,741
40,720,-3913,-3447
40,1500,-5452,-6216
41,300,-618,-1327
41,720,-1114,-617
41,1500,667,5773
42,300,2293,1611
42,720,4699,2227
42,1500,8565,5221
43,300,-505,-722
43,720,-554,-1654
43,1500,-12651,-14012
44,300,-230,738
44,720,460,424
44,1500,5865,1254
45,300,-854,-1053
45,720,-4009,-5446
45,1500,-7618,-8764
46,300,969,1230
46,720,2167,3365
46,1500,-1217,-1204
47,300,2186,933
47,720,5310,6802
47,1500,29251,24810
48,300,382,369
48,720,-1509,-4260
48,1500,-1688,-7807
49,300,873,1407
49,720,2847,3861
49,1500,14821,10045
50,300,-603,-1339
50,720,-115,-1401
50,1500,-6247,-6788
51,300,293,-183
51,720,348,553
51,1500,-3061,-5338
52,300,594,673
52,720,3146,2786
52,1500,6434,5481
53,300,-2955,-1612
53,720,-5613,-4208
53,1500,-23356,-22119
54,300,-931,-943
54,720,-3004,-2030
54,1500,-987,-261
55,300,475,696
55,720,1483,644
55,1500,10670,9452
56,300,-2292,-2267
56,720,-6269,-6987
56,1500,-18197,-17559
57,300,-259,-652
57,720,-2633,-3039
57,1500,-14821,-20455
58,300,-71,1097
58,720,1310,1377
58,1500,-3236,-7612
59,300,-271,246
59,720,337,390
59,1500,-1242,-4085
60,300,107,869
60,720,-44,-668
60,1500,3036,3990
61,300,0,-160
61,720,1,-1779
61,1500,1295,839
62,300,469,-254
62,720,3247,5165
62,1500,13060,14083
63,300,-430,-102
63,720,-4124,-4532
63,1500,-5660,-5536
64,300,-626,-1628
64,720,1112,-1638
64,1500,6149,4475
65,300,626,60
65,720,-383,162
65,1500,2345,12163
66,300,16,164
66,720,1209,574
66,1500,4639,660
67,300,117,876
67,720,-332,1
67,1500,6641,13850
68,300,-1050,-809
68,720,2672,1724
68,1500,14048,13549
69,300,1110,-55
69,720,3640,3334
69,1500,8888,13954
70,300,-893,-97
70,720,476,1543
70,1500,4741,4963
71,300,929,435
71,720,-87,167
71,1500,-8861,-6355
72,300,182,-646
72,720,-2018,-3296
72,1500,-1381,-2083
73,300,-2791,-1156
73,720,-6291,-3048
73,1500,-16504,-11386
74,300,3221,1337
74,720,2962,-1006
74,1500,-2949,-8238
75,300,1140,1599
75,720,2579,2144
75,1500,3814,7077
76,300,-1566,-671
76,720,-5058,-3197
76,1500,3687,5695
77,300,-166,416
77,720,-2706,-3095
77,1500,104,5892
78,300,-291,161
78,720,1189,3031
78,1500,777,2549
79,300,-215,358
79,720,-2055,-555
79,1500,2942,8213
80,300,82,-321
80,720,-374,101
80,1500,-360,-1056
81,300,1673,1674
81,720,2801,2886
81,1500,3693,9424
82,300,298,355
82,720,1777,289
82,1500,1922,1353
83,300,-1125,-136
83,720,-4748,-1303
83,1500,-14043,-10197
84,300,-766,-145
84,720,-3973,-1391
84,1500,3441,7642
85,300,-848,-1332
85,720,-4955,-4535
85,1500,-8636,-7293
86,300,1770,1245
86,720,10886,6993
86,1500,43263,25692
87,300,-649,-735
87,720,-668,-865
87,1500,9544,11823
88,300,-242,-557
88,720,-2109,-1763
88,1500,-5077,-6170
89,300,1448,1257
89,720,3059,2753
89,1500,2393,606
90,300,565,-43
90,720,-912,-1221
90,1500,-3564,-7705
91,300,122,242
91,720,-422,-454
91,1500,-5615,-6414
92,300,948,421
92,720,976,1869
92,1500,-1630,-4941
93,300,32,-262
93,720,1030,873
93,1500,-4189,-5435
94,300,1093,343
94,720,2024,506
94,1500,1057,-3927
95,300,-1152,-1288
95,720,-5265,-4719
95,1500,-12507,-12830
96,300,947,1555
96,720,4888,5522
96,1500,7633,11943
97,300,1595,1893
97,720,5659,5454
97,1500,10619,7003
98,300,1020,1434
98,720,-1044,678
98,1500,-17859,-11087
99,300,260,151
99,720,2589,4159
99,1500,33119,22954
100,300,980,528
100,720,2213,1874
100,1500,-6939,-9898
101,300,-998,431
101,720,-1692,-696
101,1500,-4393,-8327
102,300,-633,-1491
102,720,-2325,-1919
102,1500,2348,5122
103,300,159,-1632
103,720,-806,-4454
103,1500,-1403,-9486
104,300,-1600,-2013
104,720,-4041,-2171
104,1500,-4430,-5317
105,300,662,650
105,720,3531,3413
105,1500,30955,30298
106,300,1660,1346
106,720,2108,1032
106,1500,1587,-1151
107,300,1634,880
107,720,8975,6899
107,1500,7997,-1734
108,300,-53,219
108,720,848,828
108,1500,7601,9559
109,300,1347,-277
109,720,5321,2790
109,1500,23281,12911
110,300,-1272,-241
110,720,-526,-1366
110,1500,-4541,-4565
111,300,-903,-217
111,720,-2715,-1009
111,1500,-3084,-5624
112,300,-332,-881
112,720,1035,-233
112,1500,-400,-8113
113,300,-463,-953
113,720,-1169,-1666
113,1500,-13125,-16677
