match_id,times,tot_gold_rad,tot_gold_dire,tot_xp_rad,tot_xp_dire
0,300,5947,6984,6484,6574
0,720,16798,17922,17674,17498
0,1500,45216,38900,48688,38656
1,300,5919,6740,5679,6704
1,720,18226,20407,18114,21315
1,1500,49412,51778,57139,60448
2,300,5468,4946,6324,6095
2,720,14902,15987,16830,18068
2,1500,35937,35877,41694,40754
3,300,5048,5303,5737,5822
3,720,15305,14420,17327,14725
3,1500,38617,38284,42515,42936
4,300,6886,5131,6337,5025
4,720,19965,13721,19021,13306
4,1500,56372,37470,54130,38991
5,300,5773,4979,5341,5494
5,720,18502,14707,17681,14673
5,1500,58867,38748,60401,39465
6,300,5616,7325,5519,6789
6,720,18888,18743,17778,15349
6,1500,48541,42181,49758,39923
7,300,6412,5310,6265,5748
7,720,17572,14601,18641,15195
7,1500,50022,35316,52938,38529
8,300,6311,4865,6439,5675
8,720,15438,15404,14876,17748
8,1500,35825,50106,34492,57800
9,300,5129,4985,5820,6605
9,720,13893,12340,16159,15571
9,1500,35708,34461,42994,41625
10,300,6181,4715,7364,5158
10,720,18606,13728,20668,15704
10,1500,59165,32042,60969,34486
11,300,4970,6254,5559,6825
11,720,13315,18961,13937,20657
11,1500,34517,45650,37187,50828
12,300,6690,4593,6628,5656
12,720,18693,14001,18746,14912
12,1500,45335,38344,45573,43757
13,300,6167,6220,6704,6834
13,720,15159,16591,17531,19020
13,1500,37970,38883,44788,39987
14,300,6516,4816,7108,5561
14,720,19803,11948,20416,14243
14,1500,58639,33065,59988,40456
15,300,6614,4102,7937,6023
15,720,16523,15174,20407,18940
15,1500,48000,37745,57301,47025
16,300,4980,6328,6080,6164
16,720,15521,16497,17807,15709
16,1500,43656,40247,52962,43378
17,300,5765,5989,5721,6346
17,720,15232,13622,16354,15399
17,1500,48271,34846,49357,37827
18,300,5590,6562,6106,6455
18,720,18174,19877,19090,17574
18,1500,53512,47834,59749,46005
19,300,5362,6940,5186,6232
19,720,19551,17419,19740,15896
19,1500,52686,48587,41906,46566
20,300,5523,6195,6424,6740
20,720,15488,17333,18741,19560
20,1500,46023,42126,53404,46230
21,300,5656,6028,5987,6536
21,720,15018,16247,15803,18243
21,1500,46384,41569,49878,47600
22,300,6405,5345,6885,6522
22,720,16496,14993,17142,16427
22,1500,39763,40485,43409,42784
23,300,5682,7419,5183,6304
23,720,16236,19740,15232,17971
23,1500,42351,43008,40130,44731
24,300,5159,4904,5544,5682
24,720,13725,14126,13900,15139
24,1500,37395,37715,37036,38910
25,300,6012,5570,7500,6461
25,720,15574,14605,17286,16154
25,1500,41121,42111,45945,50789
26,300,6967,5626,7409,6370
26,720,20063,14917,20900,16723
26,1500,68551,34452,57352,35760
27,300,6045,7665,6261,7289
27,720,15690,20429,15801,19867
27,1500,44439,54886,45152,59443
28,300,6101,6280,6511,6339
28,720,16831,14410,17621,15352
28,1500,48884,33905,52250,34449
29,300,6438,5369,6878,6733
29,720,17921,15055,18578,16288
29,1500,52426,38241,50173,37886
30,300,4677,5282,5648,6297
30,720,13970,15111,16582,19434
30,1500,40658,36498,49092,47425
31,300,6435,6707,6958,6813
31,720,12585,17035,12647,17696
31,1500,33659,44238,36260,52099
32,300,6318,6616,6584,5578
32,720,16044,15914,17026,14384
32,1500,51537,38288,57083,32740
33,300,5689,5258,6025,6319
33,720,16910,12384,17257,15829
33,1500,44225,38704,43621,41620
34,300,5979,5348,5412,5318
34,720,16427,17321,16602,16815
34,1500,47331,42546,50600,41828
35,300,4597,5323,5662,5783
35,720,13423,18288,15820,19118
35,1500,31272,50333,30085,52866
36,300,6786,4818,6237,6133
36,720,16282,14168,16016,17432
36,1500,47907,33498,49002,37994
37,300,4922,5817,5957,6156
37,720,15564,15531,18661,17075
37,1500,44616,37188,56851,42499
38,300,5902,4916,6094,5750
38,720,16896,13504,18163,15342
38,1500,43251,38334,50147,43567
39,300,5802,6138,7037,6348
39,720,17449,15638,19617,17047
39,1500,43236,39434,51375,43078
40,300,5250,5050,6539,5798
40,720,13910,17823,14566,18013
40,1500,37330,42782,42313,48529
41,300,5793,6411,6563,7890
41,720,17696,18810,19083,19700
41,1500,44707,44040,53449,47676
42,300,6646,4353,6941,5330
42,720,17372,12673,16371,14144
42,1500,40555,31990,40365,35144
43,300,5259,5764,5682,6404
43,720,13992,14546,13905,15559
43,1500,31644,44295,33592,47604
44,300,5901,6131,7138,6400
44,720,16113,15653,17784,17360
44,1500,42271,36406,44993,43739
45,300,5071,5925,6169,7222
45,720,12852,16861,14302,19748
45,1500,33309,40927,39740,48504
46,300,5792,4823,6397,5167
46,720,15331,13164,17905,14540
46,1500,37616,38833,41768,42972
47,300,7532,5346,6886,5953
47,720,19915,14605,21862,15060
47,1500,64950,35699,59122,34312
48,300,5663,5281,6739,6370
48,720,15243,16752,17244,21504
48,1500,40823,42511,48566,56373
