match_id,times,rad_gold_adv,rad_xp_adv
20479,300,-895,253
20479,720,-238,3160
20479,1500,-3481,6070
20480,300,-622,-812
20480,720,-44,-168
20480,1500,7087,6950
20481,300,-300,379
20481,720,2008,2144
20481,1500,21780,11744
20482,300,-1250,-781
20482,720,1695,1019
20482,1500,13187,16106
20483,300,-320,-401
20483,720,408,1661
20483,1500,-15783,-18589
20484,300,447,-17
20484,720,473,-878
20484,1500,3920,1195
20485,300,-396,-1603
20485,720,519,-675
20485,1500,2575,521
20486,300,-1418,-680
20486,720,-5073,-2642
20486,1500,-9774,-3900
20487,300,-618,-1195
20487,720,4500,3162
20487,1500,-5509,-5803
20488,300,1365,1408
20488,720,2306,3942
20488,1500,16238,13254
20489,300,902,265
20489,720,-857,-835
20489,1500,-665,1027
20490,300,-185,217
20490,720,-3599,-2462
20490,1500,-8172,-9851
20491,300,-1236,-1386
20491,720,-828,-331
20491,1500,14560,19695
20492,300,386,1088
20492,720,-2814,-2850
20492,1500,-12503,-10694
20493,300,-705,-703
20493,720,-3062,-3566
20493,1500,-111,9385
20494,300,117,211
20494,720,1931,4630
20494,1500,7785,10795
20495,300,-296,356
20495,720,-2239,-1744
20495,1500,-866,1085
20496,300,-815,-1025
20496,720,-1370,-2317
20496,1500,-7572,-12505
20497,300,-2253,-2604
20497,720,-8833,-7922
20497,1500,-29164,-25730
20498,300,-378,-29
20498,720,544,1423
20498,1500,-6640,-8930
20499,300,1282,707
20499,720,2290,4147
20499,1500,12322,12807
20500,300,1383,500
20500,720,5012,2373
20500,1500,13583,11023
20501,300,-644,199
20501,720,-2233,-951
20501,1500,2854,854
20502,300,-810,-1309
20502,720,-6272,-7571
20503,300,738,617
20503,720,2505,2813
20503,1500,19933,22331
20504,300,-1056,386
20504,720,-2342,-393
20504,1500,-5930,-6171
20505,300,-800,-1057
20505,720,-1595,-3558
20505,1500,-6952,-12681
20506,300,-871,-1340
20506,720,-520,-1264
20506,1500,9822,12142
20507,300,-559,-728
20507,720,-1775,-1961
20507,1500,-6384,-8146
20508,300,596,555
20508,720,3057,1552
20508,1500,-2821,-6127
20509,300,593,-104
20509,720,2453,480
20509,1500,9114,1158
20510,300,-2295,-1701
20510,720,-6081,-4636
20510,1500,-12369,-12350
20511,300,-273,-434
20511,720,1593,1528
20511,1500,12450,12970
20512,300,480,884
20512,720,-492,383
20512,1500,11150,17203
20513,300,207,-18
20513,720,-1291,-2314
20513,1500,-6704,-9306
20514,300,811,828
20514,720,2279,5446
20514,1500,-166,5326
20515,300,-240,-559
20515,720,1935,1855
20515,1500,-4618,-5914
20516,300,-1504,-1437
20516,720,-4597,-2829
20516,1500,-2581,3281
20517,300,2401,1724
20517,720,9317,8143
20518,300,-683,-649
20518,720,-622,445
20518,1500,-311,5839
20519,300,723,-314
20519,720,81,-1791
20519,1500,-5039,-9272
20520,300,1206,-184
20520,720,-139,60
20520,1500,-1031,-3065
20521,300,-821,-5
20521,720,-2403,182
20521,1500,-2572,1056
20522,300,2625,2132
20522,720,8438,5577
20522,1500,10450,7815
20523,300,1194,666
20523,720,1375,1197
20523,1500,5536,3881
20524,300,-1938,-1333
20524,720,-1311,635
20524,1500,-4590,-5976
20525,300,1113,855
20525,720,338,-519
20525,1500,-283,-1263
20526,300,2248,662
20526,720,4865,2529
20526,1500,20897,15055
20527,300,-905,124
20527,720,594,1341
20527,1500,-11619,-16604
20528,300,-684,-1581
20528,720,-1915,-2624
20528,1500,-7947,-13601
20529,300,-761,92
20529,720,-1815,118
20529,1500,-1543,2338
20530,300,800,1701
20530,720,1872,4699
20530,1500,863,11763
20531,300,2425,3004
20531,720,5946,6109
20531,1500,16900,23112
20532,300,-448,-243
20532,720,1628,1945
20532,1500,25195,25894
20533,300,818,702
20533,720,1860,2269
20533,1500,5215,9824
20534,300,-524,-614
20534,720,6349,4851
20534,1500,10472,6900
20535,300,1857,448
20535,720,1648,-2740
20535,1500,1494,154
20536,300,-55,-74
20536,720,1756,1975
20536,1500,12899,12338
20537,300,-397,181
20537,720,-1993,-1647
20537,1500,-16666,-15480
20538,300,299,-1534
20538,720,2383,-2155
20538,1500,8026,5394
20539,300,-275,650
20539,720,-1308,607
20539,1500,-9800,-3583
20540,300,-190,529
20540,720,999,1390
20540,1500,7032,14039
20541,300,-644,-450
20541,720,-2248,-1738
20541,1500,-7897,-11467
20542,300,995,202
20542,720,-1342,-2315
20542,1500,-6392,-11584
20543,300,-658,-913
20543,720,1041,38
20543,1500,9994,8560
20544,300,896,573
20544,720,3470,4595
20544,1500,9729,11344
20545,300,-680,201
20545,720,24,699
20545,1500,-2127,418
20546,300,-93,-1875
20546,720,103,-3425
20546,1500,-2512,-6195
20547,300,8,-474
20547,720,-361,-1085
20547,1500,14176,18184
20548,300,627,187
20548,720,4203,5271
20548,1500,2820,13
20549,300,257,40
20549,720,-1105,-1744
20549,1500,-12234,-16470
20550,300,2555,1952
20550,720,4114,3773
20550,1500,6734,3689
20551,300,1839,808
20551,720,5790,3114
20551,1500,27810,16709
20552,300,-1112,-276
20552,720,-4292,-6013
