match_id,times,tot_gold_rad,tot_gold_dire,tot_xp_rad,tot_xp_dire
20449,300,4587,5030,6080,6355
20449,720,16150,12865,20409,14711
20449,1500,43990,34458,52160,40436
20450,300,5727,4229,6432,4978
20450,720,16733,12479,15487,14847
20450,1500,36304,34946,39304,41313
20451,300,6003,6410,6261,6114
20451,720,15819,14750,16164,14252
20451,1500,39035,42820,41436,46831
20452,300,6199,5120,6488,5735
20452,720,16936,14846,17157,16608
20452,1500,38412,35911,42832,44571
20453,300,6307,5890,6721,6505
20453,720,16247,13875,17325,15813
20453,1500,43782,32101,46418,34671
20454,300,5789,5342,6545,5832
20454,720,19454,17168,19480,17424
20454,1500,44317,40676,49904,43903
20455,300,5209,5567,5815,6297
20455,720,15489,16397,16731,17769
20455,1500,46846,45135,53709,52102
20456,300,5069,6165,5551,6281
20456,720,14432,18308,14963,16511
20456,1500,38358,48577,43774,51402
20457,300,5596,6105,4931,6127
20457,720,16260,16455,14912,15778
20457,1500,44524,42861,45501,47587
20458,300,6196,6430,6396,6303
20458,720,16930,19044,16905,18724
20458,1500,39958,47627,43358,51183
20459,300,6480,5691,5412,6232
20459,720,17841,15943,15192,17756
20459,1500,41797,40710,39655,43175
20460,300,6576,5924,6181,5749
20460,720,16703,17005,15049,16624
20460,1500,40620,40922,42857,44845
20461,300,6192,4165,5899,5808
20461,720,14274,13142,14518,15706
20461,1500,32773,35141,34651,41606
20462,300,6035,6024,5357,6335
20462,720,14602,17340,14012,18266
20462,1500,34709,65234,35498,63329
20463,300,6002,5104,5990,6058
20463,720,17743,14277,16760,15729
20463,1500,37326,45943,41213,52768
20464,300,7895,6275,6099,6031
20464,720,17931,15312,14727,15176
20464,1500,44755,39348,42287,41361
20465,300,5432,5587,6342,5809
20465,720,19097,13591,21778,14268
20465,1500,51899,39421,54646,43307
20466,300,4167,6235,5305,6703
20466,720,12956,17820,12489,17502
20466,1500,38898,44323,42906,47808
20467,300,6032,7080,5198,7253
