match_id,times,rad_gold_adv,rad_xp_adv
10420,300,-1049,-521
10420,720,-1316,-575
10420,1500,-5775,-7103
10421,300,136,-1011
10421,720,-2506,-2507
10421,1500,-31414,-25503
10422,300,806,637
10422,720,-826,39
10422,1500,-39,-3454
10423,300,-136,26
10423,720,-329,-1495
10423,1500,4437,6142
10424,300,1821,1393
10424,720,4310,3563
10424,1500,6690,7237
10425,300,-1237,-687
10425,720,-6448,-5602
10425,1500,-28423,-23913
10426,300,-24,1140
10426,720,1029,656
10426,1500,4539,2070
10427,300,-1603,-1602
10427,720,-2578,-1859
10427,1500,-6313,-4258
10428,300,-1360,-520
10428,720,442,471
10428,1500,6663,2493
10429,300,-723,-494
10429,720,-1711,-413
10429,1500,-1999,-2905
10430,300,505,402
10430,720,1641,1576
10430,1500,5150,4335
10431,300,-1316,-1298
10431,720,-1099,77
10431,1500,-2580,4105
10432,300,-2073,-697
10432,720,-3250,-892
10432,1500,-6226,-10607
10433,300,-919,-143
10433,720,-4098,-4820
10433,1500,-11249,-9326
10434,300,309,497
10434,720,1456,1023
10434,1500,-4943,-5266
10435,300,-261,-188
10435,720,3288,2943
10435,1500,2051,660
10436,300,229,303
10436,720,2107,2043
10436,1500,-2149,-1760
10437,300,-494,-486
10437,720,1216,-17
10437,1500,-5395,-13288
10438,300,911,908
10438,720,5830,6000
10438,1500,27361,28870
10439,300,-1518,-1189
10439,720,-3701,-2536
10439,1500,-23777,-21855
10440,300,-238,143
10440,720,4122,3417
10440,1500,24725,19246
10441,300,2781,1943
10441,720,6673,5707
10441,1500,18220,20698
10442,300,-239,640
10442,720,-288,-207
10442,1500,-4580,-4981
10443,300,301,-364
10443,720,3640,490
10443,1500,-6318,-13190
10444,300,2121,905
10444,720,6967,5471
10444,1500,8078,12191
10445,300,47,-144
10445,720,-549,-2865
10445,1500,1744,2454
10446,300,1681,1099
10446,720,6805,5978
10446,1500,18577,12929
10447,300,-535,57
10447,720,5128,3113
10447,1500,22494,23881
10448,300,864,438
10448,720,7093,6386
10448,1500,11738,10461
10449,300,-211,13
10449,720,2158,3639
10449,1500,14394,15780
10450,300,1006,-127
10450,720,1658,1190
10450,1500,5501,8780
10451,300,-200,-125
10451,720,879,1215
10451,1500,2796,4236
10452,300,2687,883
10452,720,8356,5369
10452,1500,23739,18360
10453,300,-35,-512
