match_id,times,tot_gold_rad,tot_gold_dire,tot_xp_rad,tot_xp_dire
10420,300,5045,6094,5803,6324
10420,720,14030,15346,15854,16429
10420,1500,34852,40627,40318,47421
10421,300,6407,6271,5433,6444
10421,720,17344,19850,16312,18819
10421,1500,42821,74235,40405,65908
10422,300,7397,6591,7119,6482
10422,720,19580,20406,19610,19571
10422,1500,49570,49609,47309,50763
10423,300,5559,5695,5931,5905
10423,720,14568,14897,14920,16415
10423,1500,42375,37938,48590,42448
10424,300,6813,4992,6988,5595
10424,720,18041,13731,18118,14555
10424,1500,41876,35186,45580,38343
10425,300,4042,5279,5348,6035
10425,720,11427,17875,12975,18577
10425,1500,29829,58252,30882,54795
10426,300,5391,5415,6128,4988
10426,720,16867,15838,15404,14748
10426,1500,41481,36942,37007,34937
10427,300,4877,6480,5727,7329
10427,720,13736,16314,15583,17442
10427,1500,41518,47831,50723,54981
10428,300,6009,7369,6186,6706
10428,720,17290,16848,18224,17753
10428,1500,45985,39322,45501,43008
10429,300,4804,5527,5944,6438
10429,720,11967,13678,15758,16171
10429,1500,31728,33727,36779,39684
10430,300,6964,6459,6656,6254
10430,720,17701,16060,18198,16622
10430,1500,46226,41076,49610,45275
10431,300,4390,5706,5165,6463
10431,720,14081,15180,17094,17017
10431,1500,37762,40342,47100,42995
10432,300,5289,7362,5837,6534
10432,720,15581,18831,16337,17229
10432,1500,41854,48080,43938,54545
10433,300,5991,6910,6623,6766
10433,720,15461,19559,16026,20846
10433,1500,40291,51540,43906,53232
10434,300,5861,5552,6578,6081
10434,720,17068,15612,17536,16513
10434,1500,39791,44734,42156,47422
10435,300,6219,6480,6489,6677
10435,720,19632,16344,20284,17341
10435,1500,44788,42737,47110,46450
10436,300,6181,5952,7450,7147
10436,720,19021,16914,22075,20032
10436,1500,45666,47815,55381,57141
10437,300,4957,5451,5741,6227
10437,720,17776,16560,16740,16757
10437,1500,40587,45982,42133,55421
10438,300,6941,6030,7330,6422
10438,720,21624,15794,22443,16443
10438,1500,66877,39516,70371,41501
10439,300,6089,7607,6029,7218
