,match_id,heroes
0,0,"[86, 51, 83, 11, 67, 106, 102, 46, 7, 73]"
1,1,"[7, 82, 71, 39, 21, 73, 22, 5, 67, 106]"
2,2,"[51, 109, 9, 41, 27, 38, 7, 10, 12, 85]"
3,3,"[50, 44, 32, 26, 39, 78, 19, 31, 40, 47]"
4,4,"[8, 39, 55, 87, 69, 101, 100, 22, 67, 21]"
5,5,"[32, 27, 67, 106, 71, 28, 107, 62, 84, 11]"
6,6,"[20, 8, 67, 69, 100, 30, 41, 102, 85, 11]"
7,7,"[53, 44, 96, 14, 74, 93, 30, 35, 21, 26]"
8,8,"[44, 28, 85, 22, 30, 71, 93, 46, 18, 39]"
9,9,"[58, 28, 44, 86, 39, 36, 26, 74, 48, 14]"
10,10,"[35, 50, 44, 69, 29, 14, 103, 72, 56, 30]"
11,11,"[94, 28, 3, 11, 50, 40, 75, 46, 96, 104]"
12,12,"[93, 74, 22, 101, 41, 105, 21, 1, 7, 18]"
13,13,"[81, 100, 25, 63, 32, 6, 60, 74, 7, 21]"
14,14,"[75, 1, 44, 7, 28, 100, 22, 105, 32, 33]"
15,15,"[20, 104, 2, 93, 34, 14, 21, 47, 22, 44]"
16,16,"[2, 86, 81, 4, 14, 73, 74, 5, 98, 68]"
17,17,"[62, 25, 71, 72, 46, 68, 63, 74, 34, 109]"
18,18,"[75, 68, 46, 107, 72, 73, 100, 93, 9, 61]"
19,19,"[36, 76, 7, 19, 91, 51, 93, 34, 73, 30]"
20,20,"[71, 59, 95, 21, 7, 69, 31, 39, 8, 55]"
21,21,"[106, 84, 102, 50, 1, 21, 2, 22, 14, 42]"
22,22,"[9, 7, 32, 93, 21, 39, 69, 26, 78, 42]"
23,23,"[68, 100, 47, 1, 62, 42, 3, 59, 22, 21]"
24,24,"[87, 39, 85, 74, 62, 109, 7, 98, 75, 26]"
25,25,"[21, 23, 109, 43, 104, 87, 72, 106, 102, 1]"
26,26,"[32, 70, 36, 46, 11, 69, 74, 90, 44, 98]"
27,27,"[102, 104, 77, 28, 53, 106, 93, 62, 69, 75]"
