Match ID,Radiant pick,Dire pick,Radiant Win,Score,Last hits,radiant win %,dire win %
5216127502,"['jakiro', 'juggernaut', 'viper', 'snapfire', 'skywrath_mage']","['slark', 'windrunner', 'mirana', 'venomancer', 'pudge']",0,-8,99,0.489,0.511
5216127505,"['invoker', 'centaur', 'rubick', 'jakiro', 'riki']","['phantom_assassin', 'ember_spirit', 'sand_king', 'earthshaker', 'pudge']",0,-26,-159,0.5308,0.4692
5216127506,"['phantom_assassin', 'faceless_void', 'batrider', 'puck', 'dragon_knight']","['lion', 'silencer', 'pudge', 'slark', 'windrunner']",0,-4,165,0.5168,0.48339999999999994
5216127507,"['huskar', 'skeleton_king', 'sniper', 'tiny', 'oracle']","['bloodseeker', 'legion_commander', 'templar_assassin', 'mirana', 'viper']",0,-7,-244,0.4821999999999999,0.5178
5216127608,"['furion', 'bloodseeker', 'drow_ranger', 'dazzle', 'doom_bringer']","['pangolier', 'ogre_magi', 'phoenix', 'arc_warden', 'skeleton_king']",1,26,290,0.5367999999999999,0.4630000000000001
5216127619,"['nevermore', 'riki', 'phantom_lancer', 'pudge', 'lion']","['windrunner', 'antimage', 'leshrac', 'undying', 'rubick']",1,17,109,0.49160000000000004,0.5082
5216127712,"['lion', 'bristleback', 'spectre', 'invoker', 'mirana']","['sand_king', 'pudge', 'viper', 'juggernaut', 'rubick']",1,2,46,0.45599999999999996,0.5438
5216127715,"['life_stealer', 'treant', 'huskar', 'storm_spirit', 'oracle']","['windrunner', 'mirana', 'disruptor', 'troll_warlord', 'juggernaut']",0,-16,-161,0.5394,0.46040000000000003
5216127812,"['phantom_lancer', 'axe', 'windrunner', 'snapfire', 'slardar']","['monkey_king', 'magnataur', 'obsidian_destroyer', 'dazzle', 'shadow_shaman']",1,28,70,0.4822,0.5178
5216127814,"['chaos_knight', 'witch_doctor', 'slardar', 'doom_bringer', 'drow_ranger']","['pudge', 'huskar', 'invoker', 'slark', 'silencer']",1,5,95,0.5052,0.4948
