Hero,Times picked,Win rate %
antimage,8,0.5
axe,5,0.4
bane,3,0.67
bloodseeker,8,0.5
crystal_maiden,10,0.5
drow_ranger,15,0.2
earthshaker,10,0.5
juggernaut,17,0.59
mirana,10,0.6
nevermore,13,0.46
morphling,8,0.5
phantom_lancer,20,0.55
puck,22,0.41
pudge,20,0.5
razor,7,0.43
sand_king,6,0.5
storm_spirit,14,0.43
sven,3,0.67
tiny,20,0.45
vengefulspirit,10,0.5
windrunner,15,0.53
zuus,10,0.4
kunkka,3,0.33
lina,13,0.62
lich,25,0.48
lion,12,0.67
shadow_shaman,3,0.33
slardar,24,0.5
tidehunter,1,1.0
witch_doctor,4,0.25
riki,6,0.67
enigma,0,0
tinker,9,0.44
sniper,3,0.67
necrolyte,3,1.0
warlock,2,0.5
beastmaster,3,0.67
queenofpain,7,0.71
venomancer,6,0.33
faceless_void,8,0.75
skeleton_king,3,0.33
death_prophet,0,0
phantom_assassin,12,0.58
pugna,3,0.33
templar_assassin,10,0.8
viper,10,0.7
luna,3,0.67
dragon_knight,0,0
dazzle,7,0.43
rattletrap,11,0.64
leshrac,3,0.33
furion,4,0.5
life_stealer,28,0.5
dark_seer,1,1.0
clinkz,4,0.75
omniknight,4,0.5
enchantress,17,0.41
huskar,11,0.55
night_stalker,1,1.0
broodmother,5,0.2
bounty_hunter,5,0.4
weaver,4,0.5
jakiro,8,0.5
batrider,12,0.5
chen,1,1.0
spectre,3,0.0
doom_bringer,9,0.78
ancient_apparition,8,0.62
ursa,9,0.33
spirit_breaker,7,0.43
gyrocopter,1,0.0
alchemist,1,0.0
invoker,13,0.69
silencer,6,0.67
obsidian_destroyer,13,0.46
lycan,1,0.0
brewmaster,0,0
shadow_demon,3,0.67
lone_druid,3,0.33
chaos_knight,2,0.5
meepo,9,0.22
treant,17,0.53
ogre_magi,6,0.5
undying,3,0.0
rubick,26,0.46
disruptor,23,0.7
nyx_assassin,7,0.29
naga_siren,6,0.33
keeper_of_the_light,1,1.0
wisp,6,0.5
visage,1,1.0
slark,28,0.64
medusa,0,0
troll_warlord,2,0.5
centaur,4,0.5
magnataur,10,0.6
shredder,15,0.73
bristleback,5,0.4
tusk,3,0.33
skywrath_mage,13,0.46
abaddon,7,0.86
elder_titan,3,0.67
legion_commander,20,0.4
ember_spirit,5,0.4
earth_spirit,4,0.25
terrorblade,2,0.5
phoenix,10,0.4
oracle,4,0.25
techies,3,0.0
winter_wyvern,17,0.47
arc_warden,1,0.0
abyssal_underlord,8,0.38
monkey_king,16,0.44
pangolier,8,0.38
dark_willow,10,0.1
grimstroke,5,0.8
mars,11,0.09
void_spirit,12,0.58
snapfire,27,0.52
