Hero,Times picked,Win rate %
antimage,16,0.62
axe,13,0.46
bane,2,0.5
bloodseeker,13,0.69
crystal_maiden,14,0.64
drow_ranger,12,0.5
earthshaker,15,0.6
juggernaut,19,0.37
mirana,14,0.71
nevermore,10,0.4
morphling,6,0.67
phantom_lancer,17,0.47
puck,10,0.9
pudge,45,0.58
razor,4,0.25
sand_king,2,0.5
storm_spirit,10,0.7
sven,4,0.25
tiny,5,0.4
vengefulspirit,6,0.67
windrunner,18,0.5
zuus,24,0.58
kunkka,12,0.33
lina,13,0.38
lich,12,0.58
lion,34,0.35
shadow_shaman,5,0.8
slardar,13,0.54
tidehunter,2,0.5
witch_doctor,13,0.38
riki,11,0.36
enigma,2,0.5
tinker,6,0.33
sniper,28,0.36
necrolyte,13,0.46
warlock,3,0.67
beastmaster,0,0
queenofpain,5,0.2
venomancer,3,0.67
faceless_void,14,0.64
skeleton_king,4,0.5
death_prophet,3,0.67
phantom_assassin,26,0.58
pugna,3,0.0
templar_assassin,5,0.4
viper,12,0.42
luna,1,0.0
dragon_knight,5,0.4
dazzle,14,0.5
rattletrap,9,0.56
leshrac,1,1.0
furion,7,0.57
life_stealer,17,0.59
dark_seer,3,0.33
clinkz,6,0.0
omniknight,4,0.5
enchantress,2,0.0
huskar,9,0.44
night_stalker,3,0.33
broodmother,1,0.0
bounty_hunter,7,0.57
weaver,5,0.6
jakiro,9,0.33
batrider,1,0.0
chen,0,0
spectre,8,0.62
doom_bringer,2,0.0
ancient_apparition,5,0.4
ursa,3,0.33
spirit_breaker,4,0.5
gyrocopter,3,0.67
alchemist,5,0.8
invoker,13,0.46
silencer,13,0.54
obsidian_destroyer,2,0.5
lycan,1,0.0
brewmaster,0,0
shadow_demon,2,0.0
lone_druid,2,1.0
chaos_knight,1,0.0
meepo,4,0.75
treant,8,0.75
ogre_magi,24,0.62
undying,3,0.33
rubick,16,0.5
disruptor,16,0.31
nyx_assassin,2,0.5
naga_siren,3,0.0
keeper_of_the_light,8,0.5
wisp,6,0.5
visage,0,0
slark,24,0.5
medusa,8,0.62
troll_warlord,2,0.5
centaur,3,0.67
magnataur,8,0.38
shredder,2,0.0
bristleback,13,0.54
tusk,0,0
skywrath_mage,14,0.36
abaddon,5,0.6
elder_titan,1,1.0
legion_commander,26,0.46
ember_spirit,7,0.43
earth_spirit,2,0.0
terrorblade,1,1.0
phoenix,5,0.2
oracle,4,0.25
techies,9,0.56
winter_wyvern,8,0.38
arc_warden,3,0.33
abyssal_underlord,11,0.55
monkey_king,16,0.56
pangolier,5,0.8
dark_willow,8,0.75
grimstroke,4,0.75
mars,5,0.4
void_spirit,7,0.43
snapfire,10,0.6
